Month,Year,group,n,%
02,2020,unspecified,3,100
02,2020,covid-19,0,0
03,2020,unspecified,10,40
03,2020,covid-19,15,60
04,2020,unspecified,24,24.742268041237114
04,2020,covid-19,73,75.25773195876289
05,2020,unspecified,43,33.33333333333333
05,2020,covid-19,86,66.66666666666666
06,2020,unspecified,28,26.666666666666668
06,2020,covid-19,77,73.33333333333333
07,2020,unspecified,23,25.842696629213485
07,2020,covid-19,66,74.15730337078652
08,2020,unspecified,21,44.680851063829785
08,2020,covid-19,26,55.319148936170215
09,2020,unspecified,18,50
09,2020,covid-19,18,50
10,2020,unspecified,10,40
10,2020,covid-19,15,60
11,2020,unspecified,16,32.6530612244898
11,2020,covid-19,33,67.3469387755102
12,2020,unspecified,9,16.666666666666664
12,2020,covid-19,45,83.33333333333334
01,2021,unspecified,11,13.253012048192772
01,2021,covid-19,72,86.74698795180723
02,2021,unspecified,10,6.666666666666667
02,2021,covid-19,140,93.33333333333333
03,2021,unspecified,24,7.667731629392971
03,2021,covid-19,289,92.33226837060703
